id,都道府県id,低料金順位,全国順位,団体名,水道料金（円）,値上げ率（％）,料金回収率（％）,経常収支比率（％）,財政力指数
1,1,94,1262,江差町,6965,0,87.21,131.54,0.28
2,1,93,1261,夕張市,6852,0,75.27,82.48,0.18
3,1,92,1257,羅臼町,6470,0,88.56,108.79,0.26
4,1,91,1256,由仁町,6462,0,35.83,99.48,0.21
5,1,90,1248,西空知広域水道企業団,6058,0,94.77,106.19,-
6,1,89,1243,石狩市,5983,0,83.89,109.19,0.51
7,1,88,1239,羽幌町,5850,0,126.6,128.1,0.19
8,1,87,1238,栗山町,5772,0,113.53,114.06,0.3
9,1,86,1230,沼田町,5575,0,61.6,95.95,0.14
10,1,85,1219,増毛町,5430,0,108.31,107.96,0.14
11,1,84,1213,様似町,5394,0,101.92,108.12,0.17
12,1,83,1208,木古内町,5355,2.82,93.79,107.9,0.18
13,1,82,1205,余市町,5336,0,87.81,103.07,0.33
14,1,81,1202,深川市,5291,-4.44,86.24,94.18,0.25
15,1,80,1201,大樹町,5271,0,57.38,84.68,0.22
16,1,79,1200,池田町,5268,0,75.94,106.47,0.22
17,1,78,1196,赤平市,5225,0,108.81,118.99,0.21
18,1,77,1189,福島町,5162,0,150.72,141.93,0.19
19,1,76,1188,芽室町,5151,0,106.95,115.33,0.43
20,1,75,1184,美唄市,5124,0,108.22,114.1,0.26
21,1,74,1177,訓子府町,5076,0,107.59,112.05,0.21
22,1,73,1175,日高町,5068,0,96.16,105.13,0.25
23,1,72,1173,名寄市,5060,0,87.81,95.94,0.27
24,1,71,1162,浜中町,5000,0,72.82,110.51,0.19
25,1,70,1154,厚岸町,4940,0,98.99,99.77,0.22
26,1,69,1144,音更町,4877,0,113.11,119.47,0.48
27,1,68,1139,当別町,4860,0,64.35,104.9,0.34
28,1,67,1130,小平町,4800,0,51.19,100.02,0.12
29,1,66,1125,本別町,4767,0,75.94,95.18,0.25
30,1,65,1124,むかわ町,4760,0,89.2,107.58,0.2
31,1,64,1113,鷹栖町,4744,2.68,119.24,126.15,0.29
32,1,63,1100,帯広市,4654,0,108,118.82,0.57
33,1,62,1092,稚内市,4620,0,98.51,103.65,0.37
34,1,60,1089,森町,4600,0,91.66,98.82,0.29
35,1,60,1089,根室市,4600,0,95.72,107.15,0.33
36,1,59,1083,月新水道企業団,4572,0,88.48,91.1,-
37,1,58,1077,幕別町,4550,0,98.96,104.27,0.34
38,1,57,1064,白糠町,4536,0,104.81,102.09,0.25
39,1,56,1059,中空知広域水道企業団,4528,0,97.61,103.38,-
40,1,55,1049,三笠市,4483,0,87.19,96.34,0.19
41,1,54,1042,芦別市,4466,0,86.76,99.85,0.25
42,1,53,1024,紋別市,4428,12.53,95.69,106.3,0.3
43,1,52,1020,美瑛町,4416,0,84.14,101.91,0.21
44,1,51,991,津別町,4320,0,100.48,105.62,0.19
45,1,50,988,網走市,4298,0,119.5,125.49,0.41
46,1,49,986,岩内町,4290,0,95.52,96.02,0.31
47,1,48,975,洞爺湖町,4266,0,104.5,104.08,0.28
48,1,47,946,別海町,4185,0,139.5,123,0.27
49,1,46,936,留萌市,4151,0,103.8,112.55,0.32
50,1,44,920,遠軽町,4104,0,98.86,108.55,0.26
51,1,44,920,枝幸町,4104,0,106.54,112.17,0.18
52,1,43,912,湧別町,4100,0,72.25,79.24,0.25
53,1,41,907,中標津町,4082,0,115.93,118.6,0.39
54,1,41,907,北広島市,4082,0,96.93,104.89,0.64
55,1,40,893,恵庭市,4045,-0.02,97.86,104.59,0.57
56,1,38,888,長幌上水道企業団,4039,0,57.47,95.61,-
57,1,38,888,富良野市,4039,0,89.92,108.92,0.34
58,1,37,872,当麻町,3991,0,100.99,102.99,0.21
59,1,36,867,登別市,3969,0,110.87,113.69,0.46
60,1,35,863,浦河町,3960,0,128.6,129.29,0.29
61,1,34,858,北見市,3946,0,98.55,104.52,0.45
62,1,33,825,松前町,3871,0,96.08,106.03,0.18
63,1,32,820,弟子屈町,3834,0,98.91,105.51,0.21
64,1,31,817,美幌町,3823,0,114.93,119.9,0.35
65,1,30,816,足寄町,3820,0,101.55,103.44,0.19
66,1,29,808,広尾町,3800,0,76.18,89,0.21
67,1,28,783,上ノ国町,3720,0,104.98,113.68,0.15
68,1,27,782,長万部町,3715,0,104.94,106.69,0.21
